ID,Common Name,Length,Location,MP3 Link
XC494543,Saffron-crested Tyrant-Manakin,0:37,"Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC494543-ICOGNITA%20Choca%20OU%20VIRA%20FOLHA%20e%20maria%20fiteira%202-8-2019%2010e38.mp3
XC395131,Saffron-crested Tyrant-Manakin,0:12,"BDFFP, Amazonas state",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC395131-Neopelma%20chrysocephalum.mp3
XC226666,Saffron-crested Tyrant-Manakin,1:28,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC226666-Saffron-crested%20Tyrant-Manakin%20A%209450.mp3
XC391067,Saffron-crested Tyrant-Manakin,0:29,"Close to Ramal do Pau Rosa, Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC391067-Neopelma%20crysolophum_Manaus_1955.mp3
XC279609,Saffron-crested Tyrant-Manakin,1:07,"São Gabriel da Cachoeira, Amazonas",https://xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC279609-UNID0689.mp3
XC466534,Red-legged Honeycreeper,0:10,"MUSA, Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/WOEAFQRMUD/XC466534-Cyanerpes%20cyaneus170922_T1926.mp3
XC119588,Purple Honeycreeper,0:40,"Tapauá, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119588-Cyanerpes%20caeruleus_Tapaua_1334.mp3
XC706537,Swallow Tanager,0:27,"Ciudad Pérdida/ Puerto Santander, Amazonas",https://xeno-canto.org/sounds/uploaded/JAPOPUHKWS/XC706537-Tersina%20viridis%20song%20-%20-%20Ciudad%20perdida.mp3
XC301891,Yellow-backed Tanager,0:52,"São Gabriel da Cachoeira, Amazonas",https://xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC301891-HEMFLA11.mp3
XC119417,Yellow-backed Tanager,0:15,"Careiro, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119417-Hemithraupis%20flavicollis_Purupuru.mp3
XC534685,Green Honeycreeper,0:49,"Tarapacá, Amazonas Department. Campamento Quebrada Bejuco",https://xeno-canto.org/sounds/uploaded/KQVLEXDIUN/XC534685-Chspiza.mp3
XC387782,Green Honeycreeper,0:09,"Puerto Ayacucho, Atures, Amazonas",https://xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC387782-Chlorophanes%20spiza%20061_Venezuela%2C%20Amazonas%2C%20Orinoco.%2024.03.2011%2C%2013-10%2C5.mp3
XC119156,Green Honeycreeper,0:10,"Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119156-Chlorophanes%20spiza_Presidente%20Figueiredo.MP3
XC119113,Green Honeycreeper,0:12,"Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119113-Chlorophanes%20spiza_Presidente%20Figueiredo.MP3
XC224673,Little Inca Finch,0:16,"Bagua Chica, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224673-Little%20Inca-Finch%20B%2015566.mp3
XC224672,Little Inca Finch,0:10,"Bagua Chica, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224672-Little%20Inca-Finch%20B%2015564.mp3
XC763514,Little Inca Finch,0:17,"10km west of Bagua Grande, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC763514-Incaspiza-watkinsi_Bagua-grande_MixPre-1763.mp3
XC224675,Little Inca Finch,0:16,"Bagua Chica, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224675-Little%20Inca-Finch%20C%2015565.mp3
XC855309,Buff-bridled Inca Finch,0:33,"Balsas District (near  Balsas), Chachapoyas Province, Amazonas","https://xeno-canto.org/sounds/uploaded/JPBSNBUUEF/XC855309-Buff-brideled-Inca-finch,-03.12.-Cajamarca,-080102-000.mp3"
XC855308,Buff-bridled Inca Finch,0:28,"Balsas District (near  Balsas), Chachapoyas Province, Amazonas","https://xeno-canto.org/sounds/uploaded/JPBSNBUUEF/XC855308-Buff-brideled-Inca-Finch,-03.12.23,-Cajamarca,-080101-036.mp3"
XC224662,Buff-bridled Inca Finch,1:00,"Balsas area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224662-Buff-bridled%20Inca-Finch%20B%2015560.mp3
XC224661,Buff-bridled Inca Finch,2:20,"Balsas area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224661-Buff-bridled%20Inca-Finch%20A%2015563.mp3
XC224660,Buff-bridled Inca Finch,1:11,"Balsas area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224660-Buff-bridled%20Inca-Finch%20A%2015562.mp3
XC224659,Buff-bridled Inca Finch,0:57,"Balsas area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224659-Buff-bridled%20Inca-Finch%20A%2015561.mp3
XC224658,Buff-bridled Inca Finch,0:25,"Balsas area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224658-Buff-bridled%20Inca-Finch%20A%2015559.mp3
XC841346,White-capped Tanager,0:37,"Yambrasbamba District (near  Yambrasbamba), Bongará Province, Amazonas","https://xeno-canto.org/sounds/uploaded/JPBSNBUUEF/XC841346-White-capped-Tanager,-Yambrasbamba,-231109-007.mp3"
XC632568,Peruvian Recurvebill,0:16,"Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/RFJPHBHHSR/XC632568-Syndactyla%20ucayalae%20-%20Boca%20do%20Acre%2C%20AM.mp3
XC536643,Peruvian Recurvebill,0:30,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536643-1760%20Syndactyla%20ucayalae%20%28song%29Boca_do_Acre_Pauini_AM_240516_FIG.mp3
XC486897,Peruvian Recurvebill,0:34,"Rio Tapajós,Apuí,Amazonas",https://xeno-canto.org/sounds/uploaded/YOXWKYFZAP/XC486897-Simoxenops%20ucayalae%20DCB%20617-6.mp3
XC839608,Buff-browed Foliage-gleaner,0:20,"Cresta San Lorenzo, Amazonas","https://xeno-canto.org/sounds/uploaded/JPBSNBUUEF/XC839608-Burff-browed-Foliage-gleaner,-call,-231031-030_022342.mp3"
XC227702,Cinnamon-rumped Foliage-gleaner,0:12,"Junglaven area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC227702-Cinnamon-rumped%20Foliage-gleaner%20%205857.mp3
XC394827,Cinnamon-rumped Foliage-gleaner,0:05,"BDFFP, Amazonas state",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC394827-Philydor%20pyrrhodes.mp3
XC119433,Rufous-rumped Foliage-gleaner,0:12,"Careiro, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119433-Phylidor%20erythroercum_Purupuru.MP3
XC535882,Bamboo Foliage-gleaner,0:08,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC535882-1641%20Anabazenops%20dorsalis%20%28short%20rattle%29Boca_do_Acre_AM_210516_FIG.mp3
XC535880,Bamboo Foliage-gleaner,0:32,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC535880-1640%20Anabazenops%20dorsalis%20%28rattle%29_Boca_do_Acre_Pauini_AM_240516_FIG.mp3
XC535879,Bamboo Foliage-gleaner,0:27,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC535879-1639%20Anabazenops%20dorsalis%20%28calls-song%29Boca_do_Acre_AM_210516_FIG.mp3
XC486876,Bamboo Foliage-gleaner,0:26,"Rio Tapajós,Apuí,Amazonas",https://xeno-canto.org/sounds/uploaded/YOXWKYFZAP/XC486876-Anabazenops%20dorsalis%20DCB%20617-15.mp3
XC486835,Bamboo Foliage-gleaner,1:46,"Rio Tapajós,Apuí,Amazonas",https://xeno-canto.org/sounds/uploaded/YOXWKYFZAP/XC486835-Anabazenops%20dorsalis%20DCB%20616-17.mp3
XC713446,Lesser Hornero,0:07,"Isla La nueva, Mocagua, Puerto Nariño, Amazonas.",https://xeno-canto.org/sounds/uploaded/WWJLCULTPC/XC713446-STE-029minority.mp3
XC713245,Lesser Hornero,0:03,"Isla La nueva, Mocagua, Puerto Nariño, Amazonas.",https://xeno-canto.org/sounds/uploaded/WWJLCULTPC/XC713245-STE-021minor.mp3
XC493792,Lesser Hornero,0:07,"Iranduba, Amazonas",https://xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC493792-4-8-2019%208e11%20JOAOZINHO%20Periquito%20testinha.mp3
XC357130,Lesser Hornero,0:26,"Itapiranga, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC357130-Furnarius%20minor_Itapiranga_1215.mp3
XC325549,Lesser Hornero,0:08,"Itapiranga, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC325549-Furnarius%20minor_Itapiranga_1124.mp3
XC591711,Bay Hornero,0:16,"Benjamin Constant, State of Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC591711-Furnarius%20torridus_Benjamim_1168.mp3
XC591710,Bay Hornero,0:30,"Benjamin Constant, State of Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC591710-Furnarius%20torridus%20call_Benjamim_1170.mp3
XC536113,Pale-legged Hornero,0:08,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536113-1684%20Furnarius%20leucopus%28song%29Boca_do_Acre_AM_190516_FIG.mp3
XC284923,Pale-legged Hornero,0:37,"Carauari, State of Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC284923-Furnarius%20leucopus_Carauari_1870.mp3
XC298935,Pale-legged Hornero,0:18,"Isla Mancocapac, Rio Amazonas, Loreto",https://xeno-canto.org/sounds/uploaded/WOEAFQRMUD/XC298935-Furnarius%20leucopusMaybe151223_348.mp3
XC298936,Pale-legged Hornero,0:12,"Isla Mancocapac, Rio Amazonas, Loreto",https://xeno-canto.org/sounds/uploaded/WOEAFQRMUD/XC298936-Furnarius%20leucopusMaybe151223_349.mp3
XC649601,Band-tailed Hornero,0:11,"Careiro da Várzea, Amazonas",https://xeno-canto.org/sounds/uploaded/DFYFSPXYGT/XC649601-furnariusfigulus2.mp3
XC649596,Band-tailed Hornero,0:13,"Careiro da Várzea, Amazonas",https://xeno-canto.org/sounds/uploaded/DFYFSPXYGT/XC649596-furnariusfigulus.mp3
XC493791,Band-tailed Hornero,0:14,"Iranduba, Amazonas",https://xeno-canto.org/sounds/uploaded/LXKLWEDKEM/XC493791-4-8-2019%208e7%20Casaca%20de%20couro%20e%20outros.mp3
XC824551,Streaked Tuftedcheek,0:15,"Cresta San Lorenzo, Amazonas",https://xeno-canto.org/sounds/uploaded/VWCBCAIJUC/XC824551-MixPre-1302_Pseudocolaptes_(young).mp3
XC763501,Streaked Tuftedcheek,0:17,"Cresta San Lorenzo, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC763501-Pseudocolaptes-boissocelates_San-Lorenzo_MixPre-1728.mp3
XC223204,Yellow-faced Parrotlet,0:35,"Balsas area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC223204-Yellow-faced%20Parrotlet%20C%202208.mp3
XC223203,Yellow-faced Parrotlet,0:23,"Balsas area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC223203-Yellow-faced%20Parrotlet%20C%202207.mp3
XC296988,Pacific Parrotlet,0:15,"Bagua Chica, Amazonas",https://xeno-canto.org/sounds/uploaded/FNIOJOZADD/XC296988-PacificParrolet_Peru_062015_call.mp3
XC325548,Green-rumped Parrotlet,0:05,"Itapiranga, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC325548-Forpus%20passerinus_Itapiranga_1211.mp3
XC612708,Riparian Parrotlet,0:25,"Iranduba, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC612708-Forpus%20xanthopterigius_Iranduba_1021.mp3
XC483922,Orange-winged Amazon,0:11,"Rio Tapajós,Floresta Nacional do Jatuarana,Apuí,Amazonas",https://xeno-canto.org/sounds/uploaded/YOXWKYFZAP/XC483922-Amazona%20amazonica%20DCB%20615-10c.mp3
XC243413,Orange-winged Amazon,0:51,"Presidente Figueiredo, Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/WAQXGRSRTQ/XC243413-141123_0266%20-%20Amazona%20amazonica.mp3
XC483918,Orange-winged Amazon,0:36,"Rio Tapajós,Floresta Nacional do Jatuarana,Apuí,Amazonas",https://xeno-canto.org/sounds/uploaded/YOXWKYFZAP/XC483918-Amazona%20amazonica%20DCB%20615-5b.mp3
XC235513,Orange-winged Amazon,0:33,"São Gabriel da Cachoeira, Amazonas",https://xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC235513-AMAAMA24.mp3
XC486830,Kawall's Amazon,0:15,"Rio Tapajós,Apuí,Amazonas",https://xeno-canto.org/sounds/uploaded/YOXWKYFZAP/XC486830-Amazona%20kawalli%20DCB%20616-9e.mp3
XC535859,Southern Mealy Amazon,0:17,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC535859-1635%20Amazona%20farinosa%20%28calls%29Boca_do_Acre_Pauini_AM_240516_FIG.mp3
XC706529,Southern Mealy Amazon,1:08,"Ciudad Pérdida/ Puerto Santander, Amazonas",https://xeno-canto.org/sounds/uploaded/JAPOPUHKWS/XC706529-Amazona%20fari%C3%B1osa%20parvada%20-%20Ciudad%20perdida.mp3
XC504932,Southern Mealy Amazon,1:20,"Presidente Figueiredo, State of Amazonas",https://xeno-canto.org/sounds/uploaded/UTCLOBFQPH/XC504932-LS111053%20Mealy%20Parrot.mp3
XC583036,Southern Mealy Amazon,0:14,"Tupana lodge, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC583036-Amazona_Tupana_1034.mp3
XC399708,Southern Mealy Amazon,0:14,"Amazonas, La Pedrera, Resguardo Indígena de Camaritagua",https://xeno-canto.org/sounds/uploaded/UAYUTDXXII/XC399708-JPLopez%20_115_Amazona_farinosa.mp3
XC393352,Southern Mealy Amazon,0:18,"BDFFP, Amazonas state",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC393352-Amazona_farinosa2.mp3
XC393351,Southern Mealy Amazon,0:46,"BDFFP, Amazonas state",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC393351-Amazona_farinosa1.mp3
XC300928,Southern Mealy Amazon,0:18,"São Gabriel da Cachoeira, Amazonas",https://xeno-canto.org/sounds/uploaded/DGVLLRYDXS/XC300928-AMAFAR20.mp3
XC188518,Southern Mealy Amazon,0:19,"Manaus, Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/VGXDJMKETZ/XC188518-Amazona%20farinosa%2020-07-2014%207%20horas%20e%2030%20min..MP3
XC163579,Southern Mealy Amazon,0:18,"PNN Amacaycau, Leticia, Amazonas",https://xeno-canto.org/sounds/uploaded/YTUXOCTUEM/XC163579-Amazona-farinosa_nom-FL%20X%20Amacayacu%201987-2.mp3
XC536665,Southern Mealy Amazon,0:15,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536665-2127%20Amazona%20farinosa%28flight%20calls%29_UPP_SeringalMacapa_Pauini_AM_250617_FIG.mp3
XC536664,Southern Mealy Amazon,0:37,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536664-2126%20Amazona%20farinosa%20%28calls%20-%20pousado%29UPA02_SeringalMacapa_Pauini_AM_210617_FIG.mp3
XC417785,Black Nunbird,1:22,"Itacoatiara, Itacoatiara, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC417785-Monasa%20atra_Novo%20Remanso_1042.mp3
XC394441,Black Nunbird,0:07,"BDFFP, Amazonas state",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC394441-INPA%20-%20Monasa%20atra%20%28Black%20Nunbird%29.mp3
XC171054,Black Nunbird,2:23,"Tarumanzinho River,Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/DVJCMXOTVL/XC171054-Monasa%20area%2C%20pau-rosa%2C%20Manaus-AM.mp3
XC225825,Black Nunbird,0:08,"Junglaven area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC225825-Black%20Nunbird%20%204207.mp3
XC225824,Black Nunbird,0:05,"Junglaven area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC225824-Black%20Nunbird%20%204206.mp3
XC225823,Black Nunbird,0:21,"Junglaven area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC225823-Black%20Nunbird%20%204205.mp3
XC188632,Black Nunbird,0:25,"Reserva Florestal Adolpho Ducke, Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/VGXDJMKETZ/XC188632-Monasa%20atra%2021-07-2014%2019%20horas.mp3
XC505034,Black Nunbird,0:13,"Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/VWCBCAIJUC/XC505034-190812_1252%20Monasa%20atra.wav
XC119218,Black Nunbird,0:25,"Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119218-Monasa_atra_Manaus.MP3
XC818257,Chestnut-headed Nunlet,0:07,"Manacapuru, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC818257-Nonnula-amaurocephala_Manacapuru_3405.mp3
XC818255,Chestnut-headed Nunlet,0:03,"Manacapuru, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC818255-Nonnula-amaurocephala_Manacapurru_3400.mp3
XC818256,Chestnut-headed Nunlet,0:04,"Manacapuru, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC818256-Nonnula-amaurocephala_Manacapuru_3398.mp3
XC537494,Rufous-capped Nunlet,0:08,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC537494-2174%20Nonnula%20ruficapilla%20%28song%29UPA02_SeringalMacapa_Pauini_AM_220617_FIG.mp3
XC270869,Rufous-capped Nunlet,0:14,"Reserva Natural Palmarí, Río Javarí, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC270869-Rufous-capped%20Nunlet%20QQ.mp3
XC431874,Fulvous-chinned Nunlet,0:32,"Humaitá, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC431874-Nonnula%20sclateri_Humaita_1266.mp3
XC437935,Rusty-breasted Nunlet,0:37,"Cabo Frio, Amazonas",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC437935-180627_01%20Nonnula%20rubecula.mp3
XC429274,White-chested Puffbird,1:00,"Ducke Reserve, Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC429274-Malacoptila%20fusca_Ducke_1140.mp3
XC394440,White-chested Puffbird,0:05,"BDFFP, Amazonas state",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC394440-INPA%20-%20Malacoptila%20fusca%20%28White-chested%20Puffbird%29.mp3
XC188625,White-chested Puffbird,0:55,"Reserva Florestal Adolpho Ducke, Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/VGXDJMKETZ/XC188625-Malacoptila%20fusca%2017-07-2014%2011%20horas%20e%2030%20min..mp3
XC224492,Two-banded Puffbird,0:25,"Orinoco river islands, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC224492-Russet-throated%20Puffbird%20%204183.mp3
XC431871,Western Striolated Puffbird,0:27,"Canutama, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC431871-Nystalus%20obamai_Humaita_1195.mp3
XC537865,Western Striolated Puffbird,0:06,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC537865-2245%20Nystalus%20obamai%28song%29UPA7_SMacapa_MUrbano_AC_210717FIG.mp3
XC536210,Western Striolated Puffbird,0:04,"Purus River, Boca do Acre, State of Amazonas",https://xeno-canto.org/sounds/uploaded/CHDHFSVVIN/XC536210-1728%20Nystalus%20obamai%20%28song%29_Boca_do_Acre_AM_210516_FIG.mp3
XC591834,Western Striolated Puffbird,0:38,"Reserva Natural Palmarí, Río Javarí, Amazonas",https://xeno-canto.org/sounds/uploaded/JPBSNBUUEF/XC591834-Western%20Striolated%20Puffbird%2C%20song%2C%20Guyaba%20da%20Anata%2C%20200923-002.mp3
XC591833,Western Striolated Puffbird,1:06,"Reserva Natural Palmarí, Río Javarí, Amazonas",https://xeno-canto.org/sounds/uploaded/JPBSNBUUEF/XC591833-Western%20Striolated%20Puffbird%2C%20song%2C%20Guayaba%20da%20Anta%2C%20200923-000.mp3
XC713247,Collared Puffbird,1:04,"Quebrada Matamatá, San Martín de Amacayacu, Amazonas, Colombia.",https://xeno-canto.org/sounds/uploaded/WWJLCULTPC/XC713247-STE-051palmari%3D.mp3
XC394439,Collared Puffbird,0:15,"BDFFP, Amazonas state",https://xeno-canto.org/sounds/uploaded/QCRJBRYRWW/XC394439-INPA%20-%20Bucco%20capensis%20%28Collared%20Puffbird%29.mp3
XC627462,Collared Puffbird,0:27,"Iranduba, Amazonas",https://xeno-canto.org/sounds/uploaded/DFYFSPXYGT/XC627462-buccocapensisdugandi.mp3
XC220321,Gilded Barbet,0:26,"Tabajos tracks, Sao Gabriel da Cachoeira, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC220321-Gilded%20Barbet%20B%204244.mp3
XC118905,Gilded Barbet,0:51,"Tapauá, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC118905-Capito%20auratus_Tapaua_1220.mp3
XC862361,Gilded Barbet,0:06,"Posada Amazonas, Tambopata, Madre de Dios",https://xeno-canto.org/sounds/uploaded/XNSUQRGJPZ/XC862361-2018-11-29-Gilded-Barbet-song-0834.mp3
XC399680,Gilded Barbet,0:17,"Amazonas, La Pedrera, Resguardo Indígena de Camaritagua",https://xeno-canto.org/sounds/uploaded/UAYUTDXXII/XC399680-JPLopez_126_Capito%20auratus.mp3
XC632997,Black-spotted Barbet,0:20,"Manaus, Manaus, Amazonas",https://xeno-canto.org/sounds/uploaded/DFYFSPXYGT/XC632997-capitoniger.mp3
XC220334,Black-spotted Barbet,1:26,"Iracema falls, Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC220334-Black-spotted%20Barbet%20B%204236.mp3
XC854976,Black-spotted Barbet,0:16,"Manaus, State of Amazonas",https://xeno-canto.org/sounds/uploaded/ESJQFJUOUH/XC854976-301628711.mp3
XC220335,Black-spotted Barbet,0:13,"Presidente Figueiredo area, Amazonas",https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC220335-Black-spotted%20Barbet%20C%204237.mp3
XC119318,Black-spotted Barbet,0:13,"Presidente Figueiredo, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC119318-Capito%20niger_Balbina_1106.mp3
XC591709,Scarlet-crowned Barbet,0:09,"Benjamin Constant, State of Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC591709-Capito%20aurovirens_Benjamim_1171.mp3
XC409538,Scarlet-crowned Barbet,0:53,"Uarini, State of Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC409538-Capito%20aurovirens_Mamiraua_1125.mp3
XC206733,Scarlet-crowned Barbet,0:40,"Carauari, State of Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC206733-Capito%20aurovirens_Monte%20Carmelo_1059.mp3
XC155381,Scarlet-crowned Barbet,0:52,"Anori, Amazonas",https://xeno-canto.org/sounds/uploaded/TGBFXDVERJ/XC155381-Capito%20aurovirens_Anori_1237.mp3
